Company Name,Screener Slug,Company Full Name,Stock P/E,Earnings Yield (%),ROCE (%),ROE (%),Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage,AVI Score,AVI Breakdown,AVI Category
Dodla Dairy,DODLA,Dodla Dairy Ltd,35.2,2.84%,15.1,15.4,"6,693",0.45,32,15,1.10,2.35,1.08,2.28,8.0,V:6.4 L:8.8 R:8.4 T:8.4,📈 Accelerating,4.6,EY:1.0 MoS:1.5 Cap:1.6 Div:0.5,⚖️ Fair Value
E to E Transportation,E2ERAIL,E to E Transportation Infrastructure Ltd,26.3,3.80%,15.4,10.9,460,0.00,32,10,0.82,2.63,0.82,2.63,7.3,V:8.4 L:4.0 R:8.4 T:8.4,🚀 Inflection,4.9,EY:1.0 MoS:2.1 Cap:1.6 Div:0.2,⚖️ Fair Value
L&T Technology,LTTS,L&T Technology Services Ltd,29.4,3.40%,26.8,21.6,"36,881",1.67,4,14,7.35,2.10,5.19,1.88,6.1,V:2.0 L:10.0 R:6.4 T:6.0,⚠️ Stagnant,5.2,EY:1.0 MoS:0.5 Cap:2.5 Div:1.2,⚖️ Fair Value
Vidhi Specialty,VIDHIING,Vidhi Specialty Food Ingredients Ltd,28.9,3.46%,18.8,15.6,"1,548",0.97,9,6,3.21,4.82,2.90,4.15,5.4,V:2.0 L:7.2 R:6.4 T:6.0,🛡️ Mature,4.4,EY:1.0 MoS:0.5 Cap:2.1 Div:0.8,⚠️ Value Trap
Heidelberg Cem.,HEIDELBERG,HeidelbergCement India Ltd,29.5,3.39%,14.7,10.1,"3,586",4.42,12,-15,2.46,Negative Growth,1.80,Negative Growth+Yield,5.4,V:2.0 L:7.2 R:6.4 T:6.0,🛡️ Mature,4.6,EY:1.0 MoS:0.5 Cap:1.6 Div:1.5,⚖️ Fair Value
Honda India,HONDAPOWER,Honda India Power Products Ltd,29.8,3.36%,11.5,8.61,"2,180",5.88,-9,8,Negative Growth,3.73,Negative Growth+Yield,2.15,4.0,V:0.8 L:7.2 R:2.0 T:6.0,🔻 Declining,3.8,EY:1.0 MoS:0.2 Cap:1.1 Div:1.5,⚠️ Value Trap
Puravankara,PURVA,Puravankara Ltd,33.1,3.02%,10.3,4.62,"5,175",0.00,38,56,0.87,0.59,0.87,0.59,8.5,V:8.4 L:8.8 R:8.4 T:8.4,🚀 Inflection,4.4,EY:1.0 MoS:2.1 Cap:1.1 Div:0.2,⚠️ Value Trap
Balkrishna Inds,BALKRISIND,Balkrishna Industries Ltd,33.4,2.99%,11.0,9.46,"45,692",0.68,-1,-2,Negative Growth,Negative Growth,Negative Growth+Yield,Negative Growth+Yield,4.7,V:0.8 L:10.0 R:2.0 T:6.0,🔻 Declining,3.1,EY:1.0 MoS:0.2 Cap:1.1 Div:0.8,⚠️ Value Trap
Forbes & Co,FORBESGOK,Forbes & Company Ltd,28.6,3.50%,6.90,3.48,395,0.00,11,15,2.60,1.91,2.60,1.91,4.6,V:2.0 L:4.0 R:6.4 T:6.0,🛡️ Mature,2.3,EY:1.0 MoS:0.5 Cap:0.6 Div:0.2,⚠️ Value Trap
JSW Dulux,JSWDULUX,JSW Dulux Ltd,37.6,2.66%,23.0,19.3,"14,424",1.58,2,11,18.80,3.42,10.50,2.99,5.8,V:2.0 L:8.8 R:6.4 T:6.0,⚠️ Stagnant,4.8,EY:1.0 MoS:0.5 Cap:2.1 Div:1.2,⚖️ Fair Value
Blue Dart Expres,BLUEDART,Blue Dart Express Ltd,38.5,2.60%,18.4,15.8,"12,200",0.49,-8,19,Negative Growth,2.03,Negative Growth+Yield,1.98,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining,3.8,EY:1.0 MoS:0.2 Cap:2.1 Div:0.5,⚠️ Value Trap
Borosil,BORORENEW,Borosil Renewables Ltd,20.4,4.90%,26.6,27.7,"8,185",0.00,61,32,0.33,0.64,0.33,0.64,9.3,V:10.0 L:8.8 R:8.4 T:10.0,🚀 Inflection,6.8,EY:1.6 MoS:2.5 Cap:2.5 Div:0.2,🌟 Quality Value
Suyog Gurbaxani,543391,Suyog Gurbaxani Funicular Ropeways Ltd,23.4,4.27%,22.1,37.1,260,0.00,230,28,0.10,0.84,0.10,0.84,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection,6.8,EY:1.6 MoS:2.5 Cap:2.5 Div:0.2,🌟 Quality Value
Supreme Inds.,SUPREMEIND,Supreme Industries Ltd,48.0,2.08%,22.6,17.1,"45,208",1.01,6,2,8.00,24.00,6.85,15.95,6.1,V:2.0 L:10.0 R:6.4 T:6.0,🛡️ Mature,3.9,EY:0.5 MoS:0.5 Cap:2.1 Div:0.8,⚠️ Value Trap
Bharti Hexacom,BHARTIHEXA,Bharti Hexacom Ltd,43.9,2.28%,21.4,26.0,"81,055",1.11,46,35,0.95,1.25,0.93,1.22,9.2,V:8.4 L:10.0 R:10.0 T:8.4,🚀 Inflection,5.9,EY:0.5 MoS:2.1 Cap:2.5 Div:0.8,⚖️ Fair Value
ICICI Pru Life,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,43.8,2.28%,8.38,10.0,"73,868",0.32,25,11,1.75,3.98,1.73,3.87,7.2,V:4.4 L:10.0 R:8.4 T:6.0,🛡️ Mature,3.1,EY:0.5 MoS:1.0 Cap:1.1 Div:0.5,⚠️ Value Trap
KFin Technolog.,KFINTECH,KFin Technologies Ltd,45.4,2.20%,30.6,23.3,"16,246",1.28,22,49,2.06,0.93,1.95,0.90,6.3,V:2.0 L:8.8 R:8.4 T:6.0,🛡️ Mature,4.3,EY:0.5 MoS:0.5 Cap:2.5 Div:0.8,⚠️ Value Trap
